"D_DF1_sample-1"	"D_DF1_sample-2"	"D_DF1_sample-3"	"D_DF1-I_sample-1"	"D_DF1-I_sample-2"	"D_DF1-I_sample-3"	"D_DF1-P_sample-1"	"D_DF1-P_sample-2"	"D_DF1-P_sample-3"	"D_DF1-P-I_sample-1"	"D_DF1-P-I_sample-2"	"D_DF1-P-I_sample-3"	"D_DF1-PC_sample-1"	"D_DF1-PC_sample-2"	"D_DF1-PC_sample-3"	"D_DF1-PC-I_sample-1"	"D_DF1-PC-I_sample-2"	"D_DF1-PC-I_sample-3"
"LOC124418406"	1	1	2	12	7	4	0	3	2	1	4	4	4	0	7	4	2	5
"LOC121106832"	25	29	27	10	11	13	13	18	13	13	17	11	19	13	15	14	12	11
"LOC107049418"	47	66	66	25	21	21	35	56	45	34	30	46	20	38	33	40	38	33
"LOC124417607"	86	130	104	54	36	46	137	109	131	104	127	120	63	70	90	66	40	56
"RNF212B"	603	791	647	279	335	331	755	651	850	610	753	851	627	677	811	471	479	641
"CARMIL3"	757	955	904	641	668	706	670	665	763	674	710	794	666	765	856	648	652	800
"DHRS4"	504	884	863	285	319	309	853	542	840	837	894	964	1023	1339	952	484	484	510
"LOC121106805"	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
"LOC121110902"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121107380"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121110878"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121107381"	2	0	2	6	111	86	7	0	3	3	9	13	3	3	0	1	1	10
"LOC112531646"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121107383"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121110879"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121110880"	44	34	51	38	24	14	10	23	3	9	15	8	13	12	30	20	19	37
"LOC121109522"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121109525"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121109523"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC112531610"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"CLC2DL4"	60	60	70	47	61	73	65	40	57	67	65	57	39	69	62	38	37	57
"LOC121113333"	362	445	506	398	473	436	526	395	584	492	552	577	314	372	358	278	248	268
