"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"A1CF" 0 0 5 2 2 1 0 0 0 0 0 0 0 0 0 0 1 1
"A2M" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"A2ML1" 1 0 1 2 4 1 2 0 0 2 1 2 0 0 0 0 0 0
"A2ML2" 0 0 1 4 2 2 0 0 0 0 0 1 0 0 0 0 0 0
"A2ML3" 0 1 0 0 0 1 9 10 6 5 3 8 0 0 0 0 0 0
"A2ML4" 566 844 655 407 442 408 1479 1034 1529 1323 1435 1434 310 319 372 323 303 329
"A4GALT" 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"A4GNT" 0 0 0 1 1 1 1 0 0 0 0 0 4 1 0 1 0 1
"AAAS" 120 179 145 288 291 287 140 111 178 123 155 144 79 98 115 162 231 238
"AACS" 4 11 4 1 1 4 1 1 3 6 7 4 5 5 3 8 10 8
"AADAC" 0 1 4 3 2 2 1 3 2 0 0 0 5 1 2 3 4 9
"AADACL3A" 5 11 9 9 8 7 18 26 19 13 31 12 8 11 14 8 10 21
"AADACL3B" 10 10 19 4 7 10 14 19 17 24 15 18 6 14 13 16 15 9
"AADACL3C" 3 8 10 5 6 10 23 20 20 20 21 20 11 10 23 15 16 15
"AADACL4A" 16 33 15 35 31 40 62 63 78 45 70 58 39 28 29 52 45 47
"AADACL4B" 1 6 3 5 13 12 5 18 6 7 16 10 5 10 6 7 11 15
"AADAT" 1 1 1 0 1 0 0 1 1 0 1 0 2 0 0 0 1 1
"AAED1" 2 6 4 2 1 1 3 1 0 3 1 1 0 2 3 0 1 0
"AAGAB" 56 79 62 14 20 20 85 76 85 69 84 99 70 49 60 35 43 54
"AAK1" 35 67 56 197 228 194 37 32 36 28 37 40 50 57 71 22 31 35
"AAMDC" 834 1290 881 789 849 866 953 723 952 899 1056 1148 1043 1145 1095 1202 1133 1223
"AAMP" 1128 1725 1459 819 917 886 1139 838 1151 1125 1218 1314 1644 1829 1639 1321 1449 1244
"AANAT" 3 2 3 4 1 0 10 4 12 8 7 9 1 0 1 0 1 0
"AAR2" 22 38 35 20 23 20 21 10 17 10 15 14 13 25 21 19 15 29
"AARS1" 15 33 27 17 18 24 26 13 24 23 15 22 22 28 40 19 18 27
"AARS2" 0 0 8 10 8 4 1 0 0 0 1 1 0 1 0 1 1 3
"AARSD1" 6 6 8 5 6 15 8 4 9 4 6 7 3 0 2 7 8 13
"AASDH" 1 0 3 2 4 5 0 0 0 1 1 0 11 16 6 25 17 21
"AASDHPPT" 7 4 5 14 8 7 1 1 0 1 3 1 0 1 3 1 1 1
"AASS" 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
"AATF" 1 3 0 5 5 1 3 0 0 1 0 0 2 1 7 2 1 3
"AATK" 0 0 3 4 3 1 0 0 0 0 0 0 0 0 0 0 1 0
"ABAT" 872 1297 904 738 789 803 821 889 861 694 787 852 1238 1254 1709 1277 1320 1379
"ABCA1" 4 11 3 2 4 9 1 5 4 2 4 1 5 6 8 5 2 2
"ABCA12" 1 0 8 3 4 3 1 0 0 0 1 0 0 1 1 0 0 0
"ABCA13" 0 0 6 0 0 0 0 2 0 0 0 0 0 0 1 3 0 0
"ABCA2" 6 4 16 8 16 18 3 0 3 3 5 5 5 9 8 5 5 12
"ABCA3" 5 7 12 19 15 16 9 4 6 6 7 4 9 9 11 7 9 9
"ABCA4" 58 75 59 36 32 39 83 85 63 63 74 79 40 45 36 31 46 31
"ABCA5" 0 4 4 4 1 1 0 2 0 1 1 0 2 1 2 0 3 0
"ABCA7" 4 11 9 19 20 26 5 9 8 5 2 5 6 7 7 9 14 16
"ABCA8" 3 3 3 4 1 5 7 7 5 4 6 7 7 2 1 3 3 5
"ABCA9" 0 1 2 0 1 0 1 1 4 1 0 1 1 2 3 0 1 5
"ABCB1" 1 0 0 6 4 0 1 1 0 0 0 3 1 2 0 2 0 3
"ABCB10" 1 0 0 2 6 2 1 1 1 3 2 5 1 0 2 3 2 3
"ABCB11" 148 233 144 66 74 50 202 374 202 168 173 164 111 93 203 81 42 94
"ABCB1LA" 3 7 10 17 24 20 12 15 14 15 17 17 18 9 14 11 6 13
"ABCB5" 37 51 41 10 9 9 17 13 22 13 20 23 42 44 44 22 24 23
"ABCB6" 51 82 63 113 141 99 59 56 61 71 73 78 40 38 59 74 80 93
"ABCB7" 3 1 1 6 3 4 2 3 2 1 1 4 1 2 2 1 6 3
"ABCB8" 13 9 5 5 15 8 15 5 15 9 19 28 2 7 5 14 6 27
"ABCB9" 11 13 16 5 3 6 10 7 9 2 12 12 7 10 13 4 3 3
"ABCC1" 19 30 24 27 41 27 14 12 10 4 12 11 22 26 24 37 27 44
"ABCC10" 9 16 18 33 48 57 30 15 25 27 30 53 20 6 9 27 21 42
"ABCC13" 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"ABCC2" 178 269 162 191 252 240 178 182 211 171 156 175 74 94 135 52 46 69
"ABCC3" 0 1 3 4 2 2 0 0 0 2 0 0 0 0 0 0 0 3
"ABCC4" 1 0 0 5 17 4 1 1 0 2 1 3 3 1 0 2 1 1
"ABCC5" 10 11 17 84 61 76 41 52 58 60 71 50 28 35 50 85 86 90
"ABCC6" 209 337 227 305 326 309 139 209 127 130 123 148 291 195 391 265 239 303
"ABCC8" 2 3 4 17 20 22 15 24 15 11 12 9 3 3 2 7 6 4
"ABCC9" 0 1 1 0 2 0 0 0 0 0 0 0 0 0 2 1 1 0
"ABCD2" 0 0 3 4 3 0 5 2 9 0 2 7 3 2 7 2 0 1
"ABCD3" 0 1 3 14 17 10 2 1 1 1 1 2 1 0 3 1 1 4
"ABCD4" 1 1 4 2 0 0 0 0 0 1 0 1 0 1 0 1 1 1
"ABCE1" 11 25 15 57 36 53 12 24 16 19 19 22 9 9 12 15 15 7
"ABCF2" 9 6 17 16 15 27 14 8 11 13 10 16 11 21 12 20 25 42
"ABCF3" 13 15 23 34 30 40 8 11 31 16 19 16 20 28 17 12 10 9
"ABCG1" 0 0 1 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0
"ABCG2" 1 5 9 10 15 6 5 4 4 3 3 8 7 4 3 1 0 3
"ABCG4" 0 0 2 3 1 0 1 1 0 2 1 1 2 2 0 0 0 1
"ABCG5" 105 169 136 79 93 75 111 146 124 101 130 134 160 167 137 101 104 100
"ABCG8" 11 7 9 14 25 15 26 49 19 26 15 22 10 8 11 5 4 12
"ABHD1" 3 10 11 1 3 4 11 14 10 3 5 14 7 7 4 10 7 8
"ABHD10" 3 5 4 5 8 8 1 2 5 2 5 3 0 3 8 5 0 3
